Literal,Source,Part of the text,Entity type,ES Time elapsed,# ES Hits,DBpedia in first 100,100 or less,Hits
Spanjaardsgat,MastbosBredaroute,in text,MON,5,61,57.0,61.0,"[u'http://nl.dbpedia.org/resource/Spanjaardsgat', u'http://www.wikidata.org/entity/Q3353274', u'http://nl.dbpedia.org/resource/Spanjaardsgat', u'http://wikidata.dbpedia.org/resource/Q3353274', u'http://linkedgeodata.org/triplify/node2043183726', u'http://nl.dbpedia.org/resource/Talita_Angwarmasse', u'http://nl.dbpedia.org/resource/Talita_Angwarmasse', u'http://nl.dbpedia.org/resource/Talita_Angwarmasse', u'http://nl.dbpedia.org/resource/Talita_Angwarmasse', u'http://nl.dbpedia.org/resource/Spanjaardsgat', u'http://nl.dbpedia.org/resource/Spanjaardsgat', u'http://nl.dbpedia.org/resource/Spanjaardsgat', u'http://nl.dbpedia.org/resource/Spanjaardsgat', u'http://nl.dbpedia.org/resource/Oude_Postkantoor_(Breda)', u'http://nl.dbpedia.org/resource/De_Mok_(Texel)', u'http://nl.dbpedia.org/resource/Oude_Postkantoor_(Breda)', u'http://nl.dbpedia.org/resource/Oude_Postkantoor_(Breda)', u'http://nl.dbpedia.org/resource/De_Mok_(Texel)', u'http://nl.dbpedia.org/resource/Oude_Postkantoor_(Breda)', u'http://nl.dbpedia.org/resource/Granaattoren']"
VVV Breda,MastbosBredaroute,in text,ORG,19,88267,96.0,100.0,"[u'http://nl.dbpedia.org/resource/Gijs_Cales', u'http://nl.dbpedia.org/resource/Remco_Schol', u'http://nl.dbpedia.org/resource/Gijs_Cales', u'http://nl.dbpedia.org/resource/Jan_Versleijen', u'http://nl.dbpedia.org/resource/VVV', u'http://nl.dbpedia.org/resource/Remco_Schol', u'http://nl.dbpedia.org/resource/Marcel_Meeuwis', u'http://nl.dbpedia.org/resource/VVV', u'http://dbpedia.org/resource/Marcel_Meeuwis', u'http://dbpedia.org/resource/Fatih_Sonkaya', u'http://dbpedia.org/resource/Fatih_Sonkaya', u'http://dbpedia.org/resource/Fatih_Sonkaya', u'http://dbpedia.org/resource/Chima_Onyeike', u'http://dbpedia.org/resource/Marcel_Meeuwis', u'http://nl.dbpedia.org/resource/Jan_Versleijen', u'http://nl.dbpedia.org/resource/Chima_Onyeike', u'http://nl.dbpedia.org/resource/Fatih_Sonkaya', u'http://nl.dbpedia.org/resource/Remco_Schol', u'http://nl.dbpedia.org/resource/Samir_El_Gaaouiri', u'http://dbpedia.org/resource/Fatih_Sonkaya']"
Haven,MastbosBredaroute,in text,LOC,37,384665,99.0,100.0,"[u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Naarden', u'http://nl.dbpedia.org/resource/Hornb\xe6k_(Helsing\xf8r)', u'http://nl.dbpedia.org/resource/Jamburg', u'http://nl.dbpedia.org/resource/Farsund_(plaats)', u'http://nl.dbpedia.org/resource/Haven_(Kansas)', u'http://nl.dbpedia.org/resource/Farsund_(plaats)', u'http://nl.dbpedia.org/resource/Haven_(Kansas)', u'http://nl.dbpedia.org/resource/Skive_(plaats)', u'http://nl.dbpedia.org/resource/Skive_(plaats)', u'http://nl.dbpedia.org/resource/Gilleleje', u'http://nl.dbpedia.org/resource/Nieuw-Beijerland', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Naarden', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Naarden', u'http://nl.dbpedia.org/resource/Hornb\xe6k_(Helsing\xf8r)', u'http://nl.dbpedia.org/resource/Haven_(Law_&_Order)', u'http://nl.dbpedia.org/resource/Haven_(waterschap)', u'http://dbpedia.org/resource/Marina_di_Grosseto', u'http://dbpedia.org/resource/Nieuw-Beijerland', u'http://dbpedia.org/resource/Antalya', u'http://dbpedia.org/resource/Vejle']"
Tolbrugstraat,MastbosBredaroute,in text,LOC,3,66,49.0,66.0,"[u'http://wikidata.dbpedia.org/resource/Q19567733', u'http://wikidata.dbpedia.org/resource/Q19567734', u'http://wikidata.dbpedia.org/resource/Q19567735', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Dordrecht', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Dordrecht', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)__Breda__404', u'http://wikidata.dbpedia.org/resource/Q19567738', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)__Breda__192', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)__Breda__192', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Dordrecht__Dordrecht__325', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Dordrecht', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://wikidata.dbpedia.org/resource/Q19567737', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)']"
Nieuweweg,MastbosBredaroute,in text,LOC,5,804,100.0,100.0,"[u'http://wikidata.dbpedia.org/resource/Q19355521', u'http://wikidata.dbpedia.org/resource/Q19355531', u'http://wikidata.dbpedia.org/resource/Q19355543', u'http://wikidata.dbpedia.org/resource/Q19355549', u'http://wikidata.dbpedia.org/resource/Q19355555', u'http://wikidata.dbpedia.org/resource/Q19355561', u'http://wikidata.dbpedia.org/resource/Q19355565', u'http://wikidata.dbpedia.org/resource/Q19355569', u'http://wikidata.dbpedia.org/resource/Q19355571', u'http://wikidata.dbpedia.org/resource/Q19355575', u'http://wikidata.dbpedia.org/resource/Q19355578', u'http://wikidata.dbpedia.org/resource/Q19355583', u'http://wikidata.dbpedia.org/resource/Q19355589', u'http://wikidata.dbpedia.org/resource/Q19355595', u'http://wikidata.dbpedia.org/resource/Q19355601', u'http://wikidata.dbpedia.org/resource/Q19355604', u'http://wikidata.dbpedia.org/resource/Q19355607', u'http://wikidata.dbpedia.org/resource/Q19355609', u'http://wikidata.dbpedia.org/resource/Q19355610', u'http://wikidata.dbpedia.org/resource/Q19355613']"
Markendaalseweg,MastbosBredaroute,in text,LOC,2,5,3.0,5.0,"[u'http://www.wikidata.org/entity/Q19336454', u'http://wikidata.dbpedia.org/resource/Q19336454', u'http://bag.kadaster.nl/id/openbareruimte/0758300000001090', u'http://nl.dbpedia.org/resource/BRTS', u'http://nl.dbpedia.org/resource/BRTS']"
Marksingel,MastbosBredaroute,in text,LOC,3,7,2.0,7.0,"[u'http://wikidata.dbpedia.org/resource/Q19336624', u'http://www.wikidata.org/entity/Q19336624', u'http://wikidata.dbpedia.org/resource/Q19336623', u'http://www.wikidata.org/entity/Q19336623', u'http://bag.kadaster.nl/id/openbareruimte/0363300000001418', u'http://bag.kadaster.nl/id/openbareruimte/0758300000001094', u'http://bag.kadaster.nl/id/openbareruimte/0363300000001418']"
L.A. Hirdes,MastbosBredaroute,in text,PER,20,172196,84.0,100.0,"[u'http://nl.dbpedia.org/resource/Eric_Hirdes', u'http://www.wikidata.org/entity/Q2108170', u'http://nl.dbpedia.org/resource/Eric_Hirdes', u'http://nl.dbpedia.org/resource/Eric_hirdes', u'http://nl.dbpedia.org/resource/Eric_hirdes', u'http://wikidata.dbpedia.org/resource/Q2108170', u'http://nl.dbpedia.org/resource/L.A.', u'http://nl.dbpedia.org/resource/Time_Fades_Away', u'http://nl.dbpedia.org/resource/Ol\xe9_(Sad_Caf\xe9)', u'http://dbpedia.org/resource/Time_Fades_Away', u'http://dbpedia.org/resource/Time_Fades_Away', u'http://nl.dbpedia.org/resource/Time_Fades_Away__Neil_Young._Tussen_haakjes_is_de_plaats_vermeld_va__1', u'http://nl.dbpedia.org/resource/Ol\xe9_(Sad_Caf\xe9)__Lp_kant_2__1', u'http://dbpedia.org/resource/Time_Fades_Away', u'http://nl.dbpedia.org/resource/Time_Fades_Away', u'http://www.wikidata.org/entity/Q1754074', u'http://nl.dbpedia.org/resource/Time_Fades_Away', u'http://nl.dbpedia.org/resource/Time_Fades_Away__Neil_Young._Tussen_haakjes_is_de_plaats_vermeld_va__1', u'http://dbpedia.org/resource/Time_Fades_Away', u'http://wikidata.dbpedia.org/resource/Q1754074']"
Mark,MastbosBredaroute,in text,LOC,178,2937650,89.0,100.0,"[u'http://nl.dbpedia.org/resource/Branchiocerianthus_urceolus', u'http://nl.dbpedia.org/resource/Polychoerus_caudatus', u'http://nl.dbpedia.org/resource/Mark_(Somerset)', u'http://dbpedia.org/property/mark', u'http://dbpedia.org/resource/Mark', u'http://dbpedia.org/resource/Mark%2C_Illinois', u'http://dbpedia.org/resource/Mark%2C_Illinois', u'http://dbpedia.org/resource/Mark,_Somerset', u'http://wikidata.dbpedia.org/resource/Q590130', u'http://wikidata.dbpedia.org/resource/Q1089123', u'http://wikidata.dbpedia.org/resource/Q500153', u'http://wikidata.dbpedia.org/resource/Q19336405', u'http://wikidata.dbpedia.org/resource/Q19336408', u'http://wikidata.dbpedia.org/resource/Q6016699', u'http://wikidata.dbpedia.org/resource/Q6766392', u'http://wikidata.dbpedia.org/resource/Q19336398', u'http://wikidata.dbpedia.org/resource/Q19336411', u'http://wikidata.dbpedia.org/resource/Q2047607', u'http://wikidata.dbpedia.org/resource/Q18614722', u'http://nl.dbpedia.org/resource/Polychoerus_caudatus']"
F. van Seegeren,MastbosBredaroute,in text,PER,900,22994184,83.0,100.0,"[u'http://wikidata.dbpedia.org/resource/Q17524564', u'http://www.wikidata.org/entity/Q17524564', u'http://nl.dbpedia.org/resource/Lijst_van_onroerend_erfgoed_in_Berchem', u'http://nl.dbpedia.org/resource/Antonius_met_monsters', u'http://nl.dbpedia.org/resource/F._van_den_Bosch', u'http://nl.dbpedia.org/resource/Lijst_van_brutoformules_F', u'http://nl.dbpedia.org/resource/Lijst_van_voetballers_-_F', u'http://nl.dbpedia.org/resource/Lijst_van_wielrenners_-_F', u'http://nl.dbpedia.org/resource/Overseer_(artiest)__Stompbox__2', u'http://nl.dbpedia.org/resource/Ton_F._van_Dijk', u'http://nl.dbpedia.org/resource/Lijst_van_wielrenners_-_F', u'http://nl.dbpedia.org/resource/F._van_den_Bosch', u'http://nl.dbpedia.org/resource/Lijst_van_platenlabels_F', u'http://nl.dbpedia.org/resource/Lijst_van_voetbalclubs_-_F', u'http://dbpedia.org/resource/Rob_Overseer', u'http://dbpedia.org/resource/Rob_Overseer', u'http://wikidata.dbpedia.org/resource/Q13754111', u'http://wikidata.dbpedia.org/resource/Q17324866', u'http://wikidata.dbpedia.org/resource/Q485749', u'http://wikidata.dbpedia.org/resource/Q15875100']"
Generaal van der Plaatstraat,MastbosBredaroute,in text,LOC,1509,56987312,84.0,100.0,"[u'http://wikidata.dbpedia.org/resource/Q19123652', u'http://www.wikidata.org/entity/Q19123652', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)__Breda__328', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)__Breda__329', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)__Breda__329', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)__Breda__327', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)__Breda__327', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)__Breda__328', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)']"
Julianalaan,MastbosBredaroute,in text,LOC,16,961,60.0,100.0,"[u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Ermelo__2781__1', u'http://nl.dbpedia.org/resource/Julianalaan', u'http://wikidata.dbpedia.org/resource/Q2198502', u'http://wikidata.dbpedia.org/resource/Q19282411', u'http://wikidata.dbpedia.org/resource/Q19282435', u'http://wikidata.dbpedia.org/resource/Q19282491', u'http://wikidata.dbpedia.org/resource/Q19282533', u'http://wikidata.dbpedia.org/resource/Q19282302', u'http://wikidata.dbpedia.org/resource/Q19282349', u'http://wikidata.dbpedia.org/resource/Q19282352', u'http://wikidata.dbpedia.org/resource/Q19282439', u'http://wikidata.dbpedia.org/resource/Q19282446', u'http://wikidata.dbpedia.org/resource/Q19282460', u'http://wikidata.dbpedia.org/resource/Q19282485', u'http://wikidata.dbpedia.org/resource/Q19282493', u'http://wikidata.dbpedia.org/resource/Q19282499', u'http://wikidata.dbpedia.org/resource/Q19282501', u'http://wikidata.dbpedia.org/resource/Q19282505', u'http://wikidata.dbpedia.org/resource/Q19282513', u'http://wikidata.dbpedia.org/resource/Q19282522']"
Michiel de Ruyterstraat,MastbosBredaroute,in text,LOC,4783,175627574,60.0,100.0,"[u'http://wikidata.dbpedia.org/resource/Q19345322', u'http://wikidata.dbpedia.org/resource/Q19345301', u'http://wikidata.dbpedia.org/resource/Q19345313', u'http://wikidata.dbpedia.org/resource/Q19345317', u'http://wikidata.dbpedia.org/resource/Q19345326', u'http://www.wikidata.org/entity/Q19345315', u'http://www.wikidata.org/entity/Q19345318', u'http://www.wikidata.org/entity/Q19345322', u'http://www.wikidata.org/entity/Q19345327', u'http://wikidata.dbpedia.org/resource/Q19345315', u'http://wikidata.dbpedia.org/resource/Q19345318', u'http://wikidata.dbpedia.org/resource/Q19345320', u'http://wikidata.dbpedia.org/resource/Q19345323', u'http://wikidata.dbpedia.org/resource/Q19345327', u'http://www.wikidata.org/entity/Q19345317', u'http://www.wikidata.org/entity/Q19345326', u'http://wikidata.dbpedia.org/resource/Q19345316', u'http://wikidata.dbpedia.org/resource/Q19345325', u'http://www.wikidata.org/entity/Q19345301', u'http://www.wikidata.org/entity/Q19345313']"
Baronielaan,MastbosBredaroute,in text,LOC,9,164,85.0,100.0,"[u'http://nl.dbpedia.org/resource/Baronielaan', u'http://nl.dbpedia.org/resource/Baronielaan', u'http://wikidata.dbpedia.org/resource/Q18943425', u'http://wikidata.dbpedia.org/resource/Q18943436', u'http://nl.dbpedia.org/resource/Baronielaan', u'http://nl.dbpedia.org/resource/Baronielaan', u'http://www.wikidata.org/entity/Q18943423', u'http://www.wikidata.org/entity/Q18943425', u'http://www.wikidata.org/entity/Q18943432', u'http://www.wikidata.org/entity/Q18943435', u'http://nl.dbpedia.org/resource/Baronielaan', u'http://nl.dbpedia.org/resource/Baronielaan', u'http://wikidata.dbpedia.org/resource/Q18943419', u'http://wikidata.dbpedia.org/resource/Q18943432', u'http://wikidata.dbpedia.org/resource/Q18943421', u'http://wikidata.dbpedia.org/resource/Q18943427', u'http://wikidata.dbpedia.org/resource/Q18943435', u'http://wikidata.dbpedia.org/resource/Q4424800', u'http://nl.dbpedia.org/resource/Baronielaan', u'http://nl.dbpedia.org/resource/Baronielaan']"
Johan Willem Frisolaan,MastbosBredaroute,in text,LOC,90,790895,63.0,100.0,"[u'http://wikidata.dbpedia.org/resource/Q19266492', u'http://wikidata.dbpedia.org/resource/Q19266498', u'http://wikidata.dbpedia.org/resource/Q19266502', u'http://wikidata.dbpedia.org/resource/Q19266505', u'http://wikidata.dbpedia.org/resource/Q19430471', u'http://www.wikidata.org/entity/Q19266494', u'http://www.wikidata.org/entity/Q19266500', u'http://www.wikidata.org/entity/Q19266503', u'http://wikidata.dbpedia.org/resource/Q19266494', u'http://wikidata.dbpedia.org/resource/Q19266507', u'http://www.wikidata.org/entity/Q19266502', u'http://www.wikidata.org/entity/Q19266496', u'http://www.wikidata.org/entity/Q19266505', u'http://wikidata.dbpedia.org/resource/Q19266490', u'http://wikidata.dbpedia.org/resource/Q19266496', u'http://wikidata.dbpedia.org/resource/Q19266503', u'http://wikidata.dbpedia.org/resource/Q19266500', u'http://www.wikidata.org/entity/Q19266490', u'http://www.wikidata.org/entity/Q19266492', u'http://www.wikidata.org/entity/Q19266498']"
Van der Borchlaan,MastbosBredaroute,in text,LOC,1663,56974419,88.0,100.0,"[u'http://wikidata.dbpedia.org/resource/Q19619503', u'http://wikidata.dbpedia.org/resource/Q18979752', u'http://www.wikidata.org/entity/Q18979752', u'http://bag.kadaster.nl/id/openbareruimte/0758300000002188', u'http://bag.kadaster.nl/id/openbareruimte/0758300000002188', u'http://bag.kadaster.nl/id/openbareruimte/0310300000656945', u'http://wikidata.dbpedia.org/resource/Q19565176', u'http://wikidata.dbpedia.org/resource/Q19565175', u'http://wikidata.dbpedia.org/resource/Q19132159', u'http://www.wikidata.org/entity/Q19132159', u'http://nl.dbpedia.org/resource/Watertoren_(Bilthoven)', u'http://nl.dbpedia.org/resource/Watertoren_(Bilthoven)', u'http://nl.dbpedia.org/resource/Watertoren_(Bilthoven)', u'http://nl.dbpedia.org/resource/Watertoren_(Bilthoven)', u'http://nl.dbpedia.org/resource/Ter_Borch_(wijk)', u'http://nl.dbpedia.org/resource/Ter_Borch_(wijk)', u'http://nl.dbpedia.org/resource/Ter_Borch_(wijk)', u'http://nl.dbpedia.org/resource/Ter_Borch_(wijk)', u'http://nl.dbpedia.org/resource/Piccardthof_(wijk)', u'http://nl.dbpedia.org/resource/Piccardthof_(wijk)']"
Werfstraat,MastbosBredaroute,in text,LOC,8,479,99.0,100.0,"[u'http://wikidata.dbpedia.org/resource/Q19649170', u'http://wikidata.dbpedia.org/resource/Q19649218', u'http://wikidata.dbpedia.org/resource/Q19649227', u'http://wikidata.dbpedia.org/resource/Q19649154', u'http://wikidata.dbpedia.org/resource/Q19649161', u'http://wikidata.dbpedia.org/resource/Q19649176', u'http://wikidata.dbpedia.org/resource/Q19649189', u'http://wikidata.dbpedia.org/resource/Q19649196', u'http://wikidata.dbpedia.org/resource/Q19649217', u'http://wikidata.dbpedia.org/resource/Q19649232', u'http://wikidata.dbpedia.org/resource/Q19649148', u'http://wikidata.dbpedia.org/resource/Q19649183', u'http://wikidata.dbpedia.org/resource/Q19649201', u'http://wikidata.dbpedia.org/resource/Q19649207', u'http://wikidata.dbpedia.org/resource/Q19649213', u'http://wikidata.dbpedia.org/resource/Q19649219', u'http://wikidata.dbpedia.org/resource/Q19649224', u'http://wikidata.dbpedia.org/resource/Q19649231', u'http://nl.dbpedia.org/resource/Lijst_van_onroerend_erfgoed_in_Brugge/U-Z', u'http://nl.dbpedia.org/resource/Lijst_van_onroerend_erfgoed_in_Brugge/U-Z']"
Hotel Mastbosch,MastbosBredaroute,in text,MON,81,1100139,87.0,100.0,"[u'http://linkedgeodata.org/triplify/node1106907781', u'http://sws.geonames.org/6533061/', u'http://geowordnet.semanticmatching.org/3.0/word-GOLDEN_TULIP_MASTBOSCH_HOTEL_BR', u'http://geowordnet.semanticmatching.org/3.0/synset-GOLDEN_TULIP_MASTBOSCH_HOTEL_BR-noun-1', u'http://geowordnet.semanticmatching.org/3.0/wordsense-GOLDEN_TULIP_MASTBOSCH_HOTEL_BR-noun-1', u'http://geowordnet.semanticmatching.org/3.0/synset-GOLDEN_TULIP_MASTBOSCH_HOTEL_BR-noun-1', u'http://sws.geonames.org/6533061/', u'http://sws.geonames.org/2751107/', u'http://sws.geonames.org/2751107/', u'http://sws.geonames.org/2751107/', u'http://sws.geonames.org/2751107/', u'http://nl.dbpedia.org/resource/Mastbos', u'http://nl.dbpedia.org/resource/Mastbos', u'http://sws.geonames.org/6533061/', u'http://nl.dbpedia.org/resource/Hotel_Carlton_Cannes', u'http://nl.dbpedia.org/resource/Hotel_M\xe9tropole', u'http://nl.dbpedia.org/resource/Jumeirah_Emirates_Towers_Hotel', u'http://nl.dbpedia.org/resource/Lijst_van_afleveringen_van_Spoed', u'http://nl.dbpedia.org/resource/Lijst_van_onroerend_erfgoed_in_Bredene', u'http://nl.dbpedia.org/resource/Manhattan_Center']"
Staatsbosbeheer,MastbosBredaroute,in text,ORG,11,1842,81.0,100.0,"[u'http://nl.dbpedia.org/resource/Staatsbosbeheer', u'http://nl.dbpedia.org/resource/Staatsbosbeheer', u'http://nl.dbpedia.org/resource/Staatsbosbeheer', u'http://dbpedia.org/resource/Staatsbosbeheer', u'http://nl.dbpedia.org/resource/Boezems_Kinderdijk', u'http://nl.dbpedia.org/resource/Staatsbosbeheer', u'http://standaarden.overheid.nl/owms/terms/Staatsbosbeheer', u'http://nl.dbpedia.org/resource/Boezems_Kinderdijk', u'http://standaarden.overheid.nl/owms/terms/Staatsbosbeheer', u'http://nl.dbpedia.org/resource/Boezems_Kinderdijk', u'http://nl.dbpedia.org/resource/Wijboschbroek', u'http://nl.dbpedia.org/resource/Boezems_Kinderdijk', u'http://nl.dbpedia.org/resource/Staatsbosbeheer', u'http://wikidata.dbpedia.org/resource/Q7510564', u'http://dbpedia.org/resource/Staatsbosbeheer', u'http://nl.dbpedia.org/resource/Staatsbosbeheer', u'http://dbpedia.org/resource/Staatsbosbeheer', u'http://dbpedia.org/resource/Staatsbosbeheer', u'http://nl.dbpedia.org/resource/Emmerdennen', u'http://standaarden.overheid.nl/owms/terms/Staatsbosbeheer']"
Bouvignedreef,MastbosBredaroute,in text,LOC,8,3,1.0,3.0,"[u'http://wikidata.dbpedia.org/resource/Q18964549', u'http://www.wikidata.org/entity/Q18964549', u'http://bag.kadaster.nl/id/openbareruimte/0758300000000303']"
Bouvignelaan,MastbosBredaroute,in text,LOC,8,55,32.0,55.0,"[u'http://www.wikidata.org/entity/Q18964551', u'http://wikidata.dbpedia.org/resource/Q18964551', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)__Breda__493', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)__Breda__493', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://wikidata.dbpedia.org/resource/Q17609492', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)__Breda__495', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)__Breda__497', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)__Breda__499', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)__Breda__494', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)__Breda__496', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)__Breda__498', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)__Breda__494']"
Vrijlandtbrug,MastbosBredaroute,in text,LOC,7,4,4.0,4.0,"[u'http://nl.dbpedia.org/resource/Markdal', u'http://nl.dbpedia.org/resource/Markdal', u'http://nl.dbpedia.org/resource/Markdal', u'http://nl.dbpedia.org/resource/Markdal']"
Café Restaurant De Boschwachter,MastbosBredaroute,in text,LOC,5082,175933545,96.0,100.0,"[u'http://linkedgeodata.org/triplify/node1373175495', u'http://linkedgeodata.org/triplify/node1960718067', u'http://nl.dbpedia.org/resource/Auberge_de_Herborist_(restaurant)', u'http://nl.dbpedia.org/resource/Lijst_van_onroerend_erfgoed_in_Kruishoutem', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Wijk_bij_Duurstede_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_onroerend_erfgoed_in_Putte', u'http://nl.dbpedia.org/resource/Lijst_van_onroerend_erfgoed_in_Schilde', u'http://nl.dbpedia.org/resource/Verzorgingsplaats_De_Somp', u'http://nl.dbpedia.org/resource/De_Lindenhof_(restaurant)', u'http://nl.dbpedia.org/resource/Restaurant_de_Lage_Vuursche', u'http://nl.dbpedia.org/resource/Lijst_van_onroerend_erfgoed_in_Ranst', u'http://nl.dbpedia.org/resource/Lijst_van_onroerend_erfgoed_in_Schilde', u'http://nl.dbpedia.org/resource/Lijst_van_onroerend_erfgoed_in_Zwevegem', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Wijk_bij_Duurstede_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_gemeentelijke_monumenten_in_Scherpenzeel__Hotel-restaurant_De_Prins__1', u'http://nl.dbpedia.org/resource/Lijst_van_onroerend_erfgoed_in_Kruishoutem', u'http://nl.dbpedia.org/resource/Lijst_van_onroerend_erfgoed_in_Putte', u'http://nl.dbpedia.org/resource/Lijst_van_onroerend_erfgoed_in_Kruishoutem', u'http://nl.dbpedia.org/resource/De_Knip_(restaurant)', u'http://nl.dbpedia.org/resource/De_Lindenhof_(restaurant)']"
