Literal,Source,Part of the text,Entity type,ES Time elapsed,# ES Hits,DBpedia % (in first 100),Hits
Rembrandtplein,AmsterdamviaWesterborkpadroute,in text,LOC,3,706,100.0,"[u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Amsterdam_Centrum_(Burgwallen-Nieuwe_Zijde)/Deel8', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_aan_het_Rembrandtplein_(Amsterdam)__Amsterdam__1', u'http://dbpedia.org/resource/Rembrandtplein', u'http://wikidata.dbpedia.org/resource/Q19464652', u'http://wikidata.dbpedia.org/resource/Q19464655', u'http://wikidata.dbpedia.org/resource/Q19464660', u'http://wikidata.dbpedia.org/resource/Q19464663', u'http://wikidata.dbpedia.org/resource/Q3459317', u'http://nl.dbpedia.org/resource/Rembrandtplein_(Amsterdam)', u'http://nl.dbpedia.org/resource/Utrechtsestraat_(Amsterdam)']"
Bakkersstraat,AmsterdamviaWesterborkpadroute,in text,LOC,2,146,60.0,"[u'http://nl.dbpedia.org/resource/Bakkersstraat', u'http://nl.dbpedia.org/resource/Bakkersstraat', u'http://wikidata.dbpedia.org/resource/Q16069307', u'http://wikidata.dbpedia.org/resource/Q18941177', u'http://wikidata.dbpedia.org/resource/Q18941192', u'http://wikidata.dbpedia.org/resource/Q18941198', u'http://www.wikidata.org/entity/Q18941188', u'http://www.wikidata.org/entity/Q18941190', u'http://www.wikidata.org/entity/Q18941198', u'http://www.wikidata.org/entity/Q1882148']"
Amstel,AmsterdamviaWesterborkpadroute,in text ,LOC,14,33247,100.0,"[u'http://nl.dbpedia.org/resource/Amstel_(straat)', u'http://nl.dbpedia.org/resource/Amsterdam_Airlines', u'http://nl.dbpedia.org/resource/Amstel_(rivier)', u'http://nl.dbpedia.org/resource/Amstelveld', u'http://nl.dbpedia.org/resource/Amsterdam_Airlines', u'http://nl.dbpedia.org/resource/Wim_Suurbier', u'http://nl.dbpedia.org/resource/Amstel_(rivier)', u'http://dbpedia.org/resource/Amstel_%28disambiguation%29', u'http://dbpedia.org/resource/Amstel', u'http://dbpedia.org/resource/Amstel']"
Halvemaansbrug,AmsterdamviaWesterborkpadroute,in text,LOC,1,9,44.44444444444444,"[u'http://purl.org/collections/nl/am/t-11498', u'http://wikidata.dbpedia.org/resource/Q14851316', u'http://www.wikidata.org/entity/Q14851316', u'http://purl.org/collections/nl/am/t-20835', u'http://bag.kadaster.nl/id/openbareruimte/0363300011950355', u'http://bag.kadaster.nl/id/openbareruimte/0363300011950355', u""http://nl.dbpedia.org/resource/'s-Gravenlandseveer"", u'http://nl.dbpedia.org/resource/Amstel_(straat)', u""http://nl.dbpedia.org/resource/'s-Gravenlandseveer""]"
Kloveniersburgwal,AmsterdamviaWesterborkpadroute,in text,LOC,6,1269,90.0,"[u'http://dbpedia.org/resource/Canals_of_Amsterdam%23Kloveniersburgwal', u'http://nl.dbpedia.org/resource/Kloveniersburgwal', u'http://nl.dbpedia.org/resource/Kloveniersburgwal', u'http://nl.dbpedia.org/resource/Kloveniersburgwal', u'http://nl.dbpedia.org/resource/Kloveniersburgwal', u'http://purl.org/collections/nl/am/t-1905', u'http://nl.dbpedia.org/resource/Kloveniersburgwal', u'http://nl.dbpedia.org/resource/Raamgracht', u'http://dbpedia.org/resource/Canals_of_Amsterdam%23Kloveniersburgwal', u'http://wikidata.dbpedia.org/resource/Q2621306']"
Staalstraat ,AmsterdamviaWesterborkpadroute,in text,LOC,3,216,80.0,"[u'http://purl.org/collections/nl/am/t-2466', u'http://wikidata.dbpedia.org/resource/Q19545915', u'http://wikidata.dbpedia.org/resource/Q19545898', u'http://wikidata.dbpedia.org/resource/Q19545906', u'http://wikidata.dbpedia.org/resource/Q19545909', u'http://wikidata.dbpedia.org/resource/Q19545911', u'http://www.wikidata.org/entity/Q2766846', u'http://nl.dbpedia.org/resource/Staalstraat', u'http://nl.dbpedia.org/resource/Staalstraat', u'http://wikidata.dbpedia.org/resource/Q2766846']"
B. Bijvoetbrug,AmsterdamviaWesterborkpadroute,in text,LOC,4,15,90.0,"[u'http://nl.dbpedia.org/resource/Ir._B._Bijvoetbrug', u'http://wikidata.dbpedia.org/resource/Q2541051', u'http://nl.dbpedia.org/resource/Ir._B._Bijvoetbrug', u'http://nl.dbpedia.org/resource/Ir._B._Bijvoetbrug', u'http://nl.dbpedia.org/resource/Ir._B._Bijvoetbrug', u'http://nl.dbpedia.org/resource/Ir._B._Bijvoetbrug', u'http://www.wikidata.org/entity/Q2541051', u'http://nl.dbpedia.org/resource/Ir._B._Bijvoetbrug', u'http://nl.dbpedia.org/resource/Ir._B._Bijvoetbrug', u'http://nl.dbpedia.org/resource/Ir._B._Bijvoetbrug']"
Stopera,AmsterdamviaWesterborkpadroute,in text,LOC,9,1262,80.0,"[u'http://purl.org/collections/nl/am/t-13349', u'http://dbpedia.org/resource/Stopera', u'http://www.wikidata.org/entity/Q1138851', u'http://nl.dbpedia.org/resource/Stopera', u'http://wikidata.dbpedia.org/resource/Q1138851', u'http://dbpedia.org/resource/Stopera', u'http://nl.dbpedia.org/resource/Stopera', u'http://dbpedia.org/resource/Stopera', u'http://dbpedia.org/resource/Stopera', u'http://dbpedia.org/resource/Stopera']"
Waterlooplein,AmsterdamviaWesterborkpadroute,in text,LOC,10,626,80.0,"[u'http://nl.dbpedia.org/resource/Waterlooplein', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Amsterdam__3611__1', u'http://nl.dbpedia.org/resource/Waterlooplein_(metrostation)', u'http://purl.org/collections/nl/am/t-2599', u'http://rdf.freebase.com/ns/m.026j6ll', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Amsterdam__3611__1', u'http://nl.dbpedia.org/resource/Nieuwe_Amstelstraat', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Amsterdam', u'http://nl.dbpedia.org/resource/Nieuwe_Amstelstraat', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Amsterdam']"
Walter Süskindbrug,AmsterdamviaWesterborkpadroute,in text,LOC,11,0,,[]
Nieuwe Herengracht,AmsterdamviaWesterborkpadroute,in text,LOC,18,617,100.0,"[u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Amsterdam__2947__1', u'http://nl.dbpedia.org/resource/Nieuwe_Herengracht', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Amsterdam', u'http://nl.dbpedia.org/resource/Nieuwe_Herengracht', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Amsterdam', u'http://nl.dbpedia.org/resource/Jonas_Dani\xebl_Meijerplein', u'http://nl.dbpedia.org/resource/Nieuwe_Herengracht', u'http://wikidata.dbpedia.org/resource/Q2327303', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Amsterdam__2947__1', u'http://nl.dbpedia.org/resource/Jonas_Dani\xebl_Meijerplein']"
Barent Helleman,AmsterdamviaWesterborkpadroute,in text,PER,13,18,100.0,"[u'http://dbpedia.org/resource/Amstelhof', u'http://ms.dbpedia.org/resource/Amstelhof', u'http://ms.dbpedia.org/resource/Amstelhof', u'http://dbpedia.org/resource/Amstelhof', u'http://dbpedia.org/resource/Amstelhof', u'http://dbpedia.org/resource/Amstelhof', u'http://dbpedia.org/resource/Amstelhof', u'http://dbpedia.org/resource/Amstelhof', u'http://dbpedia.org/resource/Amstelhof', u'http://dbpedia.org/resource/Amstelhof']"
Diaconie,AmsterdamviaWesterborkpadroute,in text,ORG,59,1545,90.0,"[u'http://nl.dbpedia.org/resource/Diaconie', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Edam', u'http://www.wikidata.org/entity/Q1208280', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Edam', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Edam__Edam__82', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Edam', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Edam__Edam__82', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Edam', u'http://nl.dbpedia.org/resource/Diaconie', u'http://wikidata.dbpedia.org/resource/Q17366039']"
Diaconie Oude Vrouwen Huys anno 1681,AmsterdamviaWesterborkpadroute,in text,MON,28,0,,[]
Amstelhof,AmsterdamviaWesterborkpadroute,in text,MON,9,165,70.0,"[u'http://nl.dbpedia.org/resource/Amstelhof', u'http://nl.dbpedia.org/resource/Amstelhof', u'http://wikidata.dbpedia.org/resource/Q4748815', u'http://www.wikidata.org/entity/Q18934960', u'http://dbpedia.org/resource/Amstelhof', u'http://purl.org/collections/nl/am/t-27130', u'http://wikidata.dbpedia.org/resource/Q2202618', u'http://wikidata.dbpedia.org/resource/Q18934960', u'http://wikidata.dbpedia.org/resource/Q18934969', u'http://www.wikidata.org/entity/Q4748815']"
Hermitage Museum,AmsterdamviaWesterborkpadroute,in text,MON,114,2889,90.0,"[u'http://dbpedia.org/resource/Guggenheim_Hermitage_Museum', u'http://dbpedia.org/resource/Guggenheim_Hermitage_Museum', u'http://dbpedia.org/resource/Guggenheim_Hermitage_Museum', u'http://nl.dbpedia.org/resource/Guggenheim_Hermitage_Museum', u'http://nl.dbpedia.org/resource/Guggenheim_Hermitage_Museum', u'http://wikidata.dbpedia.org/resource/Q1974769', u'http://dbpedia.org/resource/Guggenheim_Hermitage_Museum', u'http://www.wikidata.org/entity/Q1974769', u'http://dbpedia.org/resource/Category:Hermitage_Museum', u'http://dbpedia.org/resource/Hermitage_Museum']"
Russische Hermitage,AmsterdamviaWesterborkpadroute,in text,MON,16,0,,[]
Amstelzijde 51,AmsterdamviaWesterborkpadroute,in text,LOC,12,12,70.0,"[u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Ouderkerk_aan_de_Amstel', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Ouderkerk_aan_de_Amstel', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Ouderkerk_aan_de_Amstel__veen__14', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Ouderkerk_aan_de_Amstel', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Ouderkerk_aan_de_Amstel__veen__14', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Ouderkerk_aan_de_Amstel', u'http://wikidata.dbpedia.org/resource/Q17613367', u'http://www.wikidata.org/entity/Q17613367', u'http://data.cultureelerfgoed.nl/id/70C8F42C-E9E4-49FF-8C26-2FA8DBD874A9', u'http://data.cultureelerfgoed.nl/id/70C8F42C-E9E4-49FF-8C26-2FA8DBD874A9']"
M.S. Vas Diasbrug,AmsterdamviaWesterborkpadroute,in text ,LOC,15,0,,[]
J.D. Meijerplein,AmsterdamviaWesterborkpadroute,in text,LOC,14,13,90.0,"[u'http://nl.dbpedia.org/resource/J.D._Meijerplein', u'http://purl.org/collections/nl/am/t-1832', u'http://nl.dbpedia.org/resource/Weesperstraat', u'http://nl.dbpedia.org/resource/J.D._Meijerplein', u'http://nl.dbpedia.org/resource/Weesperstraat', u'http://nl.dbpedia.org/resource/Jonas_Dani\xebl_Meijerplein', u'http://nl.dbpedia.org/resource/Weesperstraat', u'http://nl.dbpedia.org/resource/Jonas_Dani\xebl_Meijerplein', u'http://nl.dbpedia.org/resource/Weesperstraat', u'http://nl.dbpedia.org/resource/Jonas_Dani\xebl_Meijerplein']"
Tweede Wereldoorlog,AmsterdamviaWesterborkpadroute,in text,EVENT,43,88877,100.0,"[u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Katwijk_aan_Zee', u'http://nl.dbpedia.org/resource/Emilio_De_Bono', u'http://nl.dbpedia.org/resource/Hans_Krebs_(generaal)', u'http://nl.dbpedia.org/resource/Hermann_G\xf6ring', u'http://nl.dbpedia.org/resource/Hidden_Children_-_Escape_of_the_Innocents', u'http://nl.dbpedia.org/resource/Jan_Lever_(verzetsstrijder)', u'http://nl.dbpedia.org/resource/Cornelis_Pieter_van_den_Hoek', u'http://nl.dbpedia.org/resource/Conferentie_van_Ca\xefro', u'http://nl.dbpedia.org/resource/Conferentie_van_Jalta', u'http://nl.dbpedia.org/resource/Conferentie_van_Placentia_Bay']"
Mr. Visserplein,AmsterdamviaWesterborkpadroute,in text,LOC,15,206,90.0,"[u'http://nl.dbpedia.org/resource/Jonas_Dani\xebl_Meijerplein', u'http://nl.dbpedia.org/resource/Mr._Visserplein', u'http://nl.dbpedia.org/resource/Muiderstraat', u'http://purl.org/collections/nl/am/t-2053', u'http://nl.dbpedia.org/resource/Mr._Visserplein', u'http://nl.dbpedia.org/resource/Mr._Visserplein', u'http://nl.dbpedia.org/resource/Mr._Visserplein', u'http://nl.dbpedia.org/resource/Mr_Visserplein', u'http://dbpedia.org/resource/Jodenbreestraat', u'http://nl.dbpedia.org/resource/Muiderstraat']"
Portugese Synagoge,AmsterdamviaWesterborkpadroute,in text,MON,17,58,60.0,"[u'http://purl.org/collections/nl/am/t-30599', u'http://wikidata.dbpedia.org/resource/Q17297813', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Nieuwmarkt_en_Lastage__Amsterdam__125', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Nieuwmarkt_en_Lastage__Amsterdam__125', u'http://www.wikidata.org/entity/Q17297813', u'http://www.wikidata.org/entity/Q17543465', u'http://www.wikidata.org/entity/Q1853707', u'http://nl.dbpedia.org/resource/Portugese_Synagoge_van_Amsterdam', u'http://nl.dbpedia.org/resource/Portugese_Synagoge_van_Amsterdam', u'http://wikidata.dbpedia.org/resource/Q17543465']"
kamp Schoorl,AmsterdamviaWesterborkpadroute,in text,LOC,17,116,90.0,"[u'http://dbpedia.org/resource/Kamp_Schoorl', u'http://wikidata.dbpedia.org/resource/Q1831994', u'http://dbpedia.org/resource/Kamp_Schoorl', u'http://nl.dbpedia.org/resource/Kamp_Schoorl', u'http://nl.dbpedia.org/resource/Kamp_Schoorl', u'http://www.wikidata.org/entity/Q1831994', u'http://dbpedia.org/resource/Kamp_Schoorl', u'http://dbpedia.org/resource/Kamp_Schoorl', u'http://dbpedia.org/resource/Kamp_Schoorl', u'http://dbpedia.org/resource/Kamp_Schoorl']"
Buchenwald,AmsterdamviaWesterborkpadroute,in text,LOC,53,14384,90.0,"[u'http://nl.dbpedia.org/resource/Buchenwald', u'http://dbpedia.org/resource/Buchenwald_concentration_camp', u'http://dbpedia.org/resource/Buchenwald_concentration_camp', u'http://dbpedia.org/resource/Buchenwald_concentration_camp', u'http://dbpedia.org/resource/Buchenwald_concentration_camp', u'http://nl.dbpedia.org/resource/Buchenwald', u'http://nl.dbpedia.org/resource/Buchenwald', u'http://dbpedia.org/resource/Buchenwald_concentration_camp', u'http://dbpedia.org/resource/Buchenwald_concentration_camp', u'http://rdf.freebase.com/ns/m.0d418']"
Mauthausen,AmsterdamviaWesterborkpadroute,in text,LOC,54,11767,90.0,"[u'http://nl.dbpedia.org/resource/Mauthausen_(gemeente)', u'http://nl.dbpedia.org/resource/Mauthausen_(concentratiekamp)', u'http://dbpedia.org/resource/Mauthausen', u'http://wikidata.dbpedia.org/resource/Q972325', u'http://dbpedia.org/resource/Mauthausen', u'http://nl.dbpedia.org/resource/Mauthausen_(concentratiekamp)', u'http://www.wikidata.org/entity/Q658855', u'http://nl.dbpedia.org/resource/Mauthausen', u'http://nl.dbpedia.org/resource/Mauthausen', u'http://dbpedia.org/resource/Mauthausen-Gusen_concentration_camp']"
Jodenvervolging,AmsterdamviaWesterborkpadroute,in text,CONCEPT,9,516,80.0,"[u'http://nl.dbpedia.org/resource/Jodenvervolging', u'http://www.wikidata.org/entity/Q48136', u'http://wikidata.dbpedia.org/resource/Q48136', u'http://nl.dbpedia.org/resource/Jodenvervolging', u'http://purl.org/collections/nl/am/t-11857', u'http://dbpedia.org/resource/Persecution_of_Jews', u'http://dbpedia.org/resource/Persecution_of_Jews', u'http://nl.dbpedia.org/resource/Jodenvervolging_in_de_Rivierenbuurt', u'http://nl.dbpedia.org/resource/Jodenvervolging_in_de_Rivierenbuurt', u'http://nl.dbpedia.org/resource/Jodenvervolging_in_de_Amsterdamse_Rivierenbuurt']"
Februaristaking,AmsterdamviaWesterborkpadroute,in text,EVENT,10,176,80.0,"[u'http://nl.dbpedia.org/resource/Februaristaking', u'http://dbpedia.org/resource/February_strike', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Amsterdam', u'http://dbpedia.org/resource/February_strike', u'http://wikidata.dbpedia.org/resource/Q586082', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Amsterdam', u'http://dbpedia.org/resource/February_strike', u'http://www.wikidata.org/entity/Q586082', u'http://nl.dbpedia.org/resource/Februaristaking', u'http://purl.org/collections/nl/am/t-28060']"
Mari Andriessen,AmsterdamviaWesterborkpadroute,in text,PER,17,273,100.0,"[u'http://nl.dbpedia.org/resource/Mari_Andriessen', u'http://nl.dbpedia.org/resource/Mari_Andriessen', u'http://nl.dbpedia.org/resource/Mari_Andriessen', u'http://wikidata.dbpedia.org/resource/Q844964', u'http://nl.dbpedia.org/resource/Mari_Andriessen', u'http://nl.dbpedia.org/resource/Mari_Andriessen', u'http://dbpedia.org/resource/Mari_Andriessen', u'http://dbpedia.org/resource/Mari_Andriessen', u'http://dbpedia.org/resource/Mari_Andriessen', u'http://nl.dbpedia.org/resource/Mari_Andriessen']"
Spanje,AmsterdamviaWesterborkpadroute,in text,LOC,33,85179,100.0,"[u'http://nl.dbpedia.org/resource/Sergio_Garc\xeda_de_la_Fuente', u'http://nl.dbpedia.org/resource/Telecommunicatietoren_van_Montju\xefc', u'http://nl.dbpedia.org/resource/Tenerife_(Canarische_Eilanden)', u'http://nl.dbpedia.org/resource/Vandell\xf2s', u'http://nl.dbpedia.org/resource/Monte_Naranco', u'http://nl.dbpedia.org/resource/Montju\xefc_(berg)', u'http://nl.dbpedia.org/resource/Montrondo', u'http://nl.dbpedia.org/resource/Nationaal_Park_Picos_de_Europa', u'http://nl.dbpedia.org/resource/Nationaal_Park_Picos_de_Europa', u'http://nl.dbpedia.org/resource/Nationaal_park_Do\xf1ana']"
Portugal,AmsterdamviaWesterborkpadroute,in text,LOC,190,1180862,100.0,"[u'http://nl.dbpedia.org/resource/Linda-a-Velha', u'http://nl.dbpedia.org/resource/Lindoso', u'http://nl.dbpedia.org/resource/Linhares_(Paredes_de_Coura)', u'http://nl.dbpedia.org/resource/Lixa', u'http://nl.dbpedia.org/resource/Lomba_(Lajes_das_Flores)', u'http://nl.dbpedia.org/resource/Longos', u'http://nl.dbpedia.org/resource/Longueira_/_Almograve', u'http://nl.dbpedia.org/resource/Lordelo_(Mon\xe7\xe3o)', u'http://nl.dbpedia.org/resource/Loureda', u'http://nl.dbpedia.org/resource/Louredo_(Paredes)']"
Jodenbreestraat,AmsterdamviaWesterborkpadroute,in text,LOC,10,467,90.0,"[u'http://nl.dbpedia.org/resource/Jodenbreestraat', u'http://dbpedia.org/resource/Jodenbreestraat', u'http://wikidata.dbpedia.org/resource/Q2689416', u'http://dbpedia.org/resource/Jodenbreestraat', u'http://dbpedia.org/resource/Jodenbreestraat', u'http://www.wikidata.org/entity/Q2689416', u'http://nl.dbpedia.org/resource/Jodenbreestraat', u'http://dbpedia.org/resource/Sint_Antoniesbreestraat', u'http://dbpedia.org/resource/Jodenbreestraat', u'http://nl.dbpedia.org/resource/Jodenbreestraat']"
Centraal-Europese Joden,AmsterdamviaWesterborkpadroute,in text,PER,18,0,,[]
Plantage,AmsterdamviaWesterborkpadroute,in text,LOC,15,9181,100.0,"[u'http://nl.dbpedia.org/resource/Plantage', u'http://nl.dbpedia.org/resource/Onoribo', u'http://nl.dbpedia.org/resource/Categorie:Plantage', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Tholen_(plaats)__Tholen__39', u'http://nl.dbpedia.org/resource/Plantage_(Amsterdam)', u'http://nl.dbpedia.org/resource/Plantage', u'http://dbpedia.org/resource/Plantation', u'http://wikidata.dbpedia.org/resource/Q2183106', u'http://wikidata.dbpedia.org/resource/Q2343085', u'http://wikidata.dbpedia.org/resource/Q2646534']"
Transvaal- en Rivierenbuurt,AmsterdamviaWesterborkpadroute,in text ,LOC,20,0,,[]
Sjoa (Holocaust),AmsterdamviaWesterborkpadroute,in text,EVENT,13,0,,[]
Jodenhoek,AmsterdamviaWesterborkpadroute,in text,LOC,8,34,10.0,"[u'http://lobid.org/resource/HT013379547', u'http://lobid.org/resource/HT004495019', u'http://lobid.org/resource/HT004358897', u'http://lobid.org/resource/HT013379547', u'http://lod.hebis.de/resource/28172305', u'http://lod.hebis.de/resource/28172305', u'http://nl.dbpedia.org/resource/Diamantbeurs_(Amsterdam)', u'http://lod.hebis.de/resource/02499135', u'http://lobid.org/resource/HT004358874', u'http://lobid.org/resource/HT004358896']"
Muiderstraat ,AmsterdamviaWesterborkpadroute,in text,LOC,7,135,80.0,"[u'http://nl.dbpedia.org/resource/Muiderstraat', u'http://nl.dbpedia.org/resource/Muiderstraat', u'http://nl.dbpedia.org/resource/Muiderstraat', u'http://nl.dbpedia.org/resource/Muiderstraat', u'http://www.wikidata.org/entity/Q2318432', u'http://www.wikidata.org/entity/Q19351496', u'http://nl.dbpedia.org/resource/Muiderstraat', u'http://nl.dbpedia.org/resource/Muiderstraat', u'http://wikidata.dbpedia.org/resource/Q19351496', u'http://wikidata.dbpedia.org/resource/Q2318432']"
Hortus Botanicus,AmsterdamviaWesterborkpadroute,in text,MON,14,3434,90.0,"[u'http://nl.dbpedia.org/resource/Oude_Hortus', u'http://nl.dbpedia.org/resource/Oude_Hortus', u'http://dbpedia.org/resource/Botanical_garden', u'http://purl.org/collections/nl/am/t-11659', u'http://wikidata.dbpedia.org/resource/Q167346', u'http://dbpedia.org/resource/Botanical_garden', u'http://nl.dbpedia.org/resource/Oude_Hortus', u'http://nl.dbpedia.org/resource/Oude_Hortus', u'http://nl.dbpedia.org/resource/Hortus_Botanicus', u'http://nl.dbpedia.org/resource/Hortus_botanicus']"
Plantage Parklaan,AmsterdamviaWesterborkpadroute,in text,LOC,16,41,100.0,"[u'http://nl.dbpedia.org/resource/Plantage_Parklaan', u'http://wikidata.dbpedia.org/resource/Q7476513', u'http://nl.dbpedia.org/resource/Plantage_Parklaan', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Amsterdam_Centrum_(Weesperbuurt/Plantage)', u'http://nl.dbpedia.org/resource/Plantage_Parklaan_(Amsterdam)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Amsterdam_Centrum_(Weesperbuurt/Plantage)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_de_Weesperbuurt_en_Plantage__Amsterdam__81', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_de_Weesperbuurt_en_Plantage', u'http://nl.dbpedia.org/resource/Plantage_Parklaan_(Amsterdam)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_de_Weesperbuurt_en_Plantage']"
Plantage Middenlaan,AmsterdamviaWesterborkpadroute,in text,LOC,17,356,80.0,"[u'http://purl.org/collections/nl/am/t-2252', u'http://wikidata.dbpedia.org/resource/Q2445117', u'http://nl.dbpedia.org/resource/Muiderstraat', u'http://nl.dbpedia.org/resource/Hortusbrug', u'http://nl.dbpedia.org/resource/Plantage_Middenlaan', u'http://nl.dbpedia.org/resource/Muiderstraat', u'http://nl.dbpedia.org/resource/Hortusbrug', u'http://nl.dbpedia.org/resource/Muiderstraat', u'http://www.wikidata.org/entity/Q2445117', u'http://nl.dbpedia.org/resource/Muiderstraat']"
Wertheimpark,AmsterdamviaWesterborkpadroute,in text,LOC,8,69,90.0,"[u'http://nl.dbpedia.org/resource/Wertheimpark', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Amsterdam__1501__1', u'http://nl.dbpedia.org/resource/Wertheimpark', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Amsterdam', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Amsterdam__1501__1', u'http://www.wikidata.org/entity/Q3149634', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Amsterdam', u'http://wikidata.dbpedia.org/resource/Q3149634', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_de_Weesperbuurt_en_Plantage__Amsterdam__82', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_de_Weesperbuurt_en_Plantage']"
Jan Wolkers,AmsterdamviaWesterborkpadroute,in text,PER,1993,1040,100.0,"[u'http://nl.dbpedia.org/resource/Terug_naar_Oegstgeest_(film)', u'http://nl.dbpedia.org/resource/Jan_Wolkers', u'http://nl.dbpedia.org/resource/Jan_Wolkers', u'http://dbpedia.org/resource/Jan_Wolkers', u'http://dbpedia.org/resource/Jan_Wolkers', u'http://dbpedia.org/resource/Terug_naar_Oegstgeest_%28film%29', u'http://wikidata.dbpedia.org/resource/Q379679', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Amsterdam', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Doesburg', u'http://nl.dbpedia.org/resource/Jan_Wolkers']"
Oosterbegraafplaats,AmsterdamviaWesterborkpadroute,in text,LOC,3,174,80.0,"[u'http://nl.dbpedia.org/resource/Oosterbegraafplaats', u'http://www.wikidata.org/entity/Q2799316', u'http://www.wikidata.org/entity/Q4338047', u'http://nl.dbpedia.org/resource/Oosterbegraafplaats', u'http://wikidata.dbpedia.org/resource/Q4338047', u'http://wikidata.dbpedia.org/resource/Q2799316', u'http://nl.dbpedia.org/resource/Nieuwe_Oosterbegraafplaats', u'http://nl.dbpedia.org/resource/Oosterbegraafplaats_(Zutphen)', u'http://nl.dbpedia.org/resource/Algemene_Oosterbegraafplaats', u'http://nl.dbpedia.org/resource/Nieuwe_Oosterbegraafplaats']"
Henri Polaklaan,AmsterdamviaWesterborkpadroute,in text,LOC,2,29,90.0,"[u'http://wikidata.dbpedia.org/resource/Q19248714', u'http://www.wikidata.org/entity/Q19248714', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Amsterdam_Centrum_(Weesperbuurt/Plantage)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_de_Weesperbuurt_en_Plantage__Amsterdam__1', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_de_Weesperbuurt_en_Plantage', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Amsterdam_Centrum_(Weesperbuurt/Plantage)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_de_Weesperbuurt_en_Plantage__Amsterdam__1', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Amsterdam', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_de_Weesperbuurt_en_Plantage', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Amsterdam__2966__1']"
