Literal,Source,Part of the text,Entity type,ES Time elapsed,# ES Hits,DBpedia in first 100,100 or less,Hits
Markendaalseweg,MastbosBredaroute,in text,LOC,8,5,3.0,5.0,"[u'http://www.wikidata.org/entity/Q19336454', u'http://wikidata.dbpedia.org/resource/Q19336454', u'http://bag.kadaster.nl/id/openbareruimte/0758300000001090', u'http://nl.dbpedia.org/resource/BRTS', u'http://nl.dbpedia.org/resource/BRTS']"
Marksingel,MastbosBredaroute,in text,LOC,8,7,2.0,7.0,"[u'http://wikidata.dbpedia.org/resource/Q19336624', u'http://www.wikidata.org/entity/Q19336624', u'http://wikidata.dbpedia.org/resource/Q19336623', u'http://www.wikidata.org/entity/Q19336623', u'http://bag.kadaster.nl/id/openbareruimte/0363300000001418', u'http://bag.kadaster.nl/id/openbareruimte/0758300000001094', u'http://bag.kadaster.nl/id/openbareruimte/0363300000001418']"
L.A. Hirdes,MastbosBredaroute,in text,PER,13,0,0.0,0.0,[]
Mark,MastbosBredaroute,in text,LOC,138,2937650,89.0,100.0,"[u'http://nl.dbpedia.org/resource/Branchiocerianthus_urceolus', u'http://nl.dbpedia.org/resource/Polychoerus_caudatus', u'http://nl.dbpedia.org/resource/Mark_(Somerset)', u'http://dbpedia.org/property/mark', u'http://dbpedia.org/resource/Mark', u'http://dbpedia.org/resource/Mark%2C_Illinois', u'http://dbpedia.org/resource/Mark%2C_Illinois', u'http://dbpedia.org/resource/Mark,_Somerset', u'http://wikidata.dbpedia.org/resource/Q590130', u'http://wikidata.dbpedia.org/resource/Q1089123', u'http://wikidata.dbpedia.org/resource/Q500153', u'http://wikidata.dbpedia.org/resource/Q19336405', u'http://wikidata.dbpedia.org/resource/Q19336408', u'http://wikidata.dbpedia.org/resource/Q6016699', u'http://wikidata.dbpedia.org/resource/Q6766392', u'http://wikidata.dbpedia.org/resource/Q19336398', u'http://wikidata.dbpedia.org/resource/Q19336411', u'http://wikidata.dbpedia.org/resource/Q2047607', u'http://wikidata.dbpedia.org/resource/Q18614722', u'http://nl.dbpedia.org/resource/Polychoerus_caudatus']"
F. van Seegeren,MastbosBredaroute,in text,PER,16,0,0.0,0.0,[]
Generaal van der Plaatstraat,MastbosBredaroute,in text,LOC,23,33,22.0,33.0,"[u'http://wikidata.dbpedia.org/resource/Q19123652', u'http://www.wikidata.org/entity/Q19123652', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)__Breda__328', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)__Breda__329', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)__Breda__329', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)__Breda__327', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)__Breda__327', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)__Breda__328', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)']"
Julianalaan,MastbosBredaroute,in text,LOC,9,961,60.0,100.0,"[u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Ermelo__2781__1', u'http://nl.dbpedia.org/resource/Julianalaan', u'http://wikidata.dbpedia.org/resource/Q2198502', u'http://wikidata.dbpedia.org/resource/Q19282411', u'http://wikidata.dbpedia.org/resource/Q19282435', u'http://wikidata.dbpedia.org/resource/Q19282491', u'http://wikidata.dbpedia.org/resource/Q19282533', u'http://wikidata.dbpedia.org/resource/Q19282302', u'http://wikidata.dbpedia.org/resource/Q19282349', u'http://wikidata.dbpedia.org/resource/Q19282352', u'http://wikidata.dbpedia.org/resource/Q19282439', u'http://wikidata.dbpedia.org/resource/Q19282446', u'http://wikidata.dbpedia.org/resource/Q19282460', u'http://wikidata.dbpedia.org/resource/Q19282485', u'http://wikidata.dbpedia.org/resource/Q19282493', u'http://wikidata.dbpedia.org/resource/Q19282499', u'http://wikidata.dbpedia.org/resource/Q19282501', u'http://wikidata.dbpedia.org/resource/Q19282505', u'http://wikidata.dbpedia.org/resource/Q19282513', u'http://wikidata.dbpedia.org/resource/Q19282522']"
Michiel de Ruyterstraat,MastbosBredaroute,in text,LOC,15,35,11.0,35.0,"[u'http://wikidata.dbpedia.org/resource/Q19345322', u'http://wikidata.dbpedia.org/resource/Q19345313', u'http://wikidata.dbpedia.org/resource/Q19345317', u'http://wikidata.dbpedia.org/resource/Q19345326', u'http://www.wikidata.org/entity/Q19345315', u'http://www.wikidata.org/entity/Q19345318', u'http://www.wikidata.org/entity/Q19345322', u'http://www.wikidata.org/entity/Q19345327', u'http://wikidata.dbpedia.org/resource/Q19345315', u'http://wikidata.dbpedia.org/resource/Q19345318', u'http://wikidata.dbpedia.org/resource/Q19345320', u'http://wikidata.dbpedia.org/resource/Q19345323', u'http://wikidata.dbpedia.org/resource/Q19345327', u'http://www.wikidata.org/entity/Q19345317', u'http://www.wikidata.org/entity/Q19345326', u'http://wikidata.dbpedia.org/resource/Q19345316', u'http://wikidata.dbpedia.org/resource/Q19345325', u'http://www.wikidata.org/entity/Q19345313', u'http://www.wikidata.org/entity/Q19345316', u'http://www.wikidata.org/entity/Q19345320']"
Baronielaan,MastbosBredaroute,in text,LOC,9,164,85.0,100.0,"[u'http://nl.dbpedia.org/resource/Baronielaan', u'http://nl.dbpedia.org/resource/Baronielaan', u'http://wikidata.dbpedia.org/resource/Q18943425', u'http://wikidata.dbpedia.org/resource/Q18943436', u'http://nl.dbpedia.org/resource/Baronielaan', u'http://nl.dbpedia.org/resource/Baronielaan', u'http://www.wikidata.org/entity/Q18943423', u'http://www.wikidata.org/entity/Q18943425', u'http://www.wikidata.org/entity/Q18943432', u'http://www.wikidata.org/entity/Q18943435', u'http://nl.dbpedia.org/resource/Baronielaan', u'http://nl.dbpedia.org/resource/Baronielaan', u'http://wikidata.dbpedia.org/resource/Q18943419', u'http://wikidata.dbpedia.org/resource/Q18943432', u'http://wikidata.dbpedia.org/resource/Q18943421', u'http://wikidata.dbpedia.org/resource/Q18943427', u'http://wikidata.dbpedia.org/resource/Q18943435', u'http://wikidata.dbpedia.org/resource/Q4424800', u'http://nl.dbpedia.org/resource/Baronielaan', u'http://nl.dbpedia.org/resource/Baronielaan']"
Johan Willem Frisolaan,MastbosBredaroute,in text,LOC,20,39,15.0,39.0,"[u'http://wikidata.dbpedia.org/resource/Q19266492', u'http://wikidata.dbpedia.org/resource/Q19266498', u'http://wikidata.dbpedia.org/resource/Q19266502', u'http://wikidata.dbpedia.org/resource/Q19266505', u'http://wikidata.dbpedia.org/resource/Q19430471', u'http://www.wikidata.org/entity/Q19266494', u'http://www.wikidata.org/entity/Q19266500', u'http://www.wikidata.org/entity/Q19266503', u'http://wikidata.dbpedia.org/resource/Q19266494', u'http://wikidata.dbpedia.org/resource/Q19266507', u'http://www.wikidata.org/entity/Q19266502', u'http://www.wikidata.org/entity/Q19266496', u'http://www.wikidata.org/entity/Q19266505', u'http://wikidata.dbpedia.org/resource/Q19266490', u'http://wikidata.dbpedia.org/resource/Q19266496', u'http://wikidata.dbpedia.org/resource/Q19266503', u'http://wikidata.dbpedia.org/resource/Q19266500', u'http://www.wikidata.org/entity/Q19266490', u'http://www.wikidata.org/entity/Q19266492', u'http://www.wikidata.org/entity/Q19266498']"
Van der Borchlaan,MastbosBredaroute,in text,LOC,17,10,6.0,10.0,"[u'http://wikidata.dbpedia.org/resource/Q19619503', u'http://wikidata.dbpedia.org/resource/Q18979752', u'http://www.wikidata.org/entity/Q18979752', u'http://bag.kadaster.nl/id/openbareruimte/0758300000002188', u'http://bag.kadaster.nl/id/openbareruimte/0758300000002188', u'http://bag.kadaster.nl/id/openbareruimte/0310300000656945', u'http://nl.dbpedia.org/resource/Watertoren_(Bilthoven)', u'http://nl.dbpedia.org/resource/Watertoren_(Bilthoven)', u'http://nl.dbpedia.org/resource/Watertoren_(Bilthoven)', u'http://nl.dbpedia.org/resource/Watertoren_(Bilthoven)']"
Werfstraat,MastbosBredaroute,in text,LOC,10,479,99.0,100.0,"[u'http://wikidata.dbpedia.org/resource/Q19649170', u'http://wikidata.dbpedia.org/resource/Q19649218', u'http://wikidata.dbpedia.org/resource/Q19649227', u'http://wikidata.dbpedia.org/resource/Q19649154', u'http://wikidata.dbpedia.org/resource/Q19649161', u'http://wikidata.dbpedia.org/resource/Q19649176', u'http://wikidata.dbpedia.org/resource/Q19649189', u'http://wikidata.dbpedia.org/resource/Q19649196', u'http://wikidata.dbpedia.org/resource/Q19649217', u'http://wikidata.dbpedia.org/resource/Q19649232', u'http://wikidata.dbpedia.org/resource/Q19649148', u'http://wikidata.dbpedia.org/resource/Q19649183', u'http://wikidata.dbpedia.org/resource/Q19649201', u'http://wikidata.dbpedia.org/resource/Q19649207', u'http://wikidata.dbpedia.org/resource/Q19649213', u'http://wikidata.dbpedia.org/resource/Q19649219', u'http://wikidata.dbpedia.org/resource/Q19649224', u'http://wikidata.dbpedia.org/resource/Q19649231', u'http://nl.dbpedia.org/resource/Lijst_van_onroerend_erfgoed_in_Brugge/U-Z', u'http://nl.dbpedia.org/resource/Lijst_van_onroerend_erfgoed_in_Brugge/U-Z']"
Hotel Mastbosch,MastbosBredaroute,in text,MON,14,4,3.0,4.0,"[u'http://linkedgeodata.org/triplify/node1106907781', u'http://nl.dbpedia.org/resource/Mastbos', u'http://nl.dbpedia.org/resource/Mastbos', u'http://nl.dbpedia.org/resource/Mastbos']"
Staatsbosbeheer,MastbosBredaroute,in text,ORG,13,1842,81.0,100.0,"[u'http://nl.dbpedia.org/resource/Staatsbosbeheer', u'http://nl.dbpedia.org/resource/Staatsbosbeheer', u'http://nl.dbpedia.org/resource/Staatsbosbeheer', u'http://dbpedia.org/resource/Staatsbosbeheer', u'http://nl.dbpedia.org/resource/Boezems_Kinderdijk', u'http://nl.dbpedia.org/resource/Staatsbosbeheer', u'http://standaarden.overheid.nl/owms/terms/Staatsbosbeheer', u'http://nl.dbpedia.org/resource/Boezems_Kinderdijk', u'http://standaarden.overheid.nl/owms/terms/Staatsbosbeheer', u'http://nl.dbpedia.org/resource/Boezems_Kinderdijk', u'http://nl.dbpedia.org/resource/Wijboschbroek', u'http://nl.dbpedia.org/resource/Boezems_Kinderdijk', u'http://nl.dbpedia.org/resource/Staatsbosbeheer', u'http://wikidata.dbpedia.org/resource/Q7510564', u'http://dbpedia.org/resource/Staatsbosbeheer', u'http://nl.dbpedia.org/resource/Staatsbosbeheer', u'http://dbpedia.org/resource/Staatsbosbeheer', u'http://dbpedia.org/resource/Staatsbosbeheer', u'http://nl.dbpedia.org/resource/Emmerdennen', u'http://standaarden.overheid.nl/owms/terms/Staatsbosbeheer']"
Bouvignedreef,MastbosBredaroute,in text,LOC,7,3,1.0,3.0,"[u'http://wikidata.dbpedia.org/resource/Q18964549', u'http://www.wikidata.org/entity/Q18964549', u'http://bag.kadaster.nl/id/openbareruimte/0758300000000303']"
Bouvignelaan,MastbosBredaroute,in text,LOC,9,55,32.0,55.0,"[u'http://www.wikidata.org/entity/Q18964551', u'http://wikidata.dbpedia.org/resource/Q18964551', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)__Breda__493', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)__Breda__493', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://wikidata.dbpedia.org/resource/Q17609492', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)__Breda__495', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)__Breda__497', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)__Breda__499', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)__Breda__494', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)__Breda__496', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)__Breda__498', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)__Breda__494']"
Vrijlandtbrug,MastbosBredaroute,in text,LOC,8,4,4.0,4.0,"[u'http://nl.dbpedia.org/resource/Markdal', u'http://nl.dbpedia.org/resource/Markdal', u'http://nl.dbpedia.org/resource/Markdal', u'http://nl.dbpedia.org/resource/Markdal']"
Café Restaurant De Boschwachter,MastbosBredaroute,in text,LOC,22,0,0.0,0.0,[]
Graaf Hendrik III van Nassau,MastbosBredaroute,in text,PER,2884,18,18.0,18.0,"[u'http://dbpedia.org/resource/Ren%C3%A9_of_Ch%C3%A2lon', u'http://dbpedia.org/resource/Ren%C3%A9_of_Ch%C3%A2lon', u'http://dbpedia.org/resource/Ren%C3%A9_of_Ch%C3%A2lon', u'http://nl.dbpedia.org/resource/Ren\xe9_van_Chalon', u'http://nl.dbpedia.org/resource/Mencia_de_Mendozalyceum', u'http://nl.dbpedia.org/resource/Mencia_de_Mendozalyceum', u'http://nl.dbpedia.org/resource/Ren\xe9_van_Chalon', u'http://dbpedia.org/resource/Ren%C3%A9_of_Ch%C3%A2lon', u'http://nl.dbpedia.org/resource/Mencia_de_Mendozalyceum', u'http://nl.dbpedia.org/resource/Mencia_de_Mendozalyceum', u'http://dbpedia.org/resource/Ren%C3%A9_of_Ch%C3%A2lon', u'http://nl.dbpedia.org/resource/Begijnhof_(Breda)', u'http://nl.dbpedia.org/resource/Begijnhof_(Breda)', u'http://dbpedia.org/resource/Ren%C3%A9_of_Ch%C3%A2lon', u'http://dbpedia.org/resource/Ren%C3%A9_of_Ch%C3%A2lon', u'http://nl.dbpedia.org/resource/Ren\xe9_van_Chalon', u'http://nl.dbpedia.org/resource/Ren\xe9_van_Chalon', u'http://dbpedia.org/resource/Ren%C3%A9_of_Ch%C3%A2lon']"
Willem III van Oranje,MastbosBredaroute,in text,PER,14,532,96.0,100.0,"[u'http://nl.dbpedia.org/resource/Willem_III_van_Oranje', u'http://nl.dbpedia.org/resource/Willem_III_van_Oranje', u'http://dbpedia.org/resource/William_III_of_England', u'http://dbpedia.org/resource/William_III_of_England', u'http://wikidata.dbpedia.org/resource/Q129987', u'http://www.wikidata.org/entity/Q129987', u'http://dbpedia.org/resource/William_III_of_England', u'http://dbpedia.org/resource/William_III_of_England', u'http://nl.dbpedia.org/resource/Willem_III_van_Oranje-Nassau', u'http://dbpedia.org/resource/William_III_of_England', u'http://www.wikidata.org/entity/Q129987', u'http://nl.dbpedia.org/resource/Willem_III_van_Oranje-Nassau', u'http://dbpedia.org/resource/William_III_of_England', u'http://nl.dbpedia.org/resource/Slag_aan_de_Boyne', u'http://dbpedia.org/resource/Battle_of_the_Boyne', u'http://dbpedia.org/resource/Battle_of_the_Boyne', u'http://dbpedia.org/resource/Battle_of_the_Boyne', u'http://dbpedia.org/resource/Battle_of_the_Boyne', u'http://nl.dbpedia.org/resource/Slag_aan_de_Boyne', u'http://nl.dbpedia.org/resource/Slag_aan_de_Boyne']"
de Nassaus,MastbosBredaroute,in text,PER,4,38,36.0,38.0,"[u'http://nl.dbpedia.org/resource/Pacifique_Goffint', u'http://nl.dbpedia.org/resource/Pacifique_Goffint', u'http://nl.dbpedia.org/resource/L\xe9onard_Ooms', u'http://nl.dbpedia.org/resource/Augustin_Janssens_(politicus)', u'http://nl.dbpedia.org/resource/Grafkelder_van_Oranje-Nassau', u'http://nl.dbpedia.org/resource/Grafkelder_van_Oranje-Nassau', u'http://nl.dbpedia.org/resource/Nassaus_blauw', u'http://nl.dbpedia.org/resource/L\xe9onard_Ooms', u'http://nl.dbpedia.org/resource/Augustin_Janssens_(politicus)', u'http://nl.dbpedia.org/resource/Nassaus_blauw', u'http://lobid.org/resource/HT004027422', u'http://nl.dbpedia.org/resource/Pacifique_Goffint', u'http://nl.dbpedia.org/resource/Pacifique_Goffint', u'http://nl.dbpedia.org/resource/Augustin_Janssens_(politicus)', u""http://nl.dbpedia.org/resource/Jacques_D'Martigny"", u""http://nl.dbpedia.org/resource/Jacques_D'Martigny"", u'http://nl.dbpedia.org/resource/L\xe9onard_Ooms', u'http://nl.dbpedia.org/resource/L\xe9onard_Ooms', u'http://nl.dbpedia.org/resource/Augustin_Janssens_(politicus)', u'http://nl.dbpedia.org/resource/Nassause_erfvereniging']"
Galderseweg,MastbosBredaroute,in text,LOC,2,113,55.0,100.0,"[u'http://wikidata.dbpedia.org/resource/Q19161190', u'http://wikidata.dbpedia.org/resource/Q19161192', u'http://www.wikidata.org/entity/Q19161190', u'http://www.wikidata.org/entity/Q19161192', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)__Breda__315', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Alphen-Chaam__Galder__1', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Alphen-Chaam', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)__Breda__375', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)__Breda__316', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)__Breda__466', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)__Breda__439', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Alphen-Chaam', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Alphen-Chaam']"
Reeptiend,MastbosBredaroute,in text,LOC,1,12,8.0,12.0,"[u'http://wikidata.dbpedia.org/resource/Q19463416', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)__Breda__318', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)__Breda__318', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://www.wikidata.org/entity/Q17343698', u'http://wikidata.dbpedia.org/resource/Q17343698', u'http://bag.kadaster.nl/id/openbareruimte/0758300000001514', u'http://data.cultureelerfgoed.nl/id/C3AAED54-E7A7-4FAC-9B91-41E6A355BF9D', u'http://data.cultureelerfgoed.nl/id/C3AAED54-E7A7-4FAC-9B91-41E6A355BF9D']"
horecagelegenheid De Kogelvanger,MastbosBredaroute,in text,LOC,4,0,0.0,0.0,[]
Grenslandpad,MastbosBredaroute,in text,LOC,2,21,18.0,21.0,"[u'http://wikidata.dbpedia.org/resource/Q2209294', u'http://nl.dbpedia.org/resource/Grenslandpad', u'http://nl.dbpedia.org/resource/Grenslandpad', u'http://www.wikidata.org/entity/Q2209294', u'http://nl.dbpedia.org/resource/Airbornepad_Market_Garden', u'http://nl.dbpedia.org/resource/Airbornepad_Market_Garden', u'http://nl.dbpedia.org/resource/Grenslandpad', u'http://nl.dbpedia.org/resource/Grenslandpad', u'http://nl.dbpedia.org/resource/Wandelroute_GR5A', u'http://nl.dbpedia.org/resource/Brabants_Vennenpad', u'http://nl.dbpedia.org/resource/Grenslandpad', u'http://nl.dbpedia.org/resource/Grenslandpad', u'http://nl.dbpedia.org/resource/Brabants_Vennenpad', u'http://nl.dbpedia.org/resource/Zeeland_van_A_tot_Z', u""http://nl.dbpedia.org/resource/Lijst_van_LAW's_in_Nederland"", u""http://nl.dbpedia.org/resource/Lijst_van_LAW's_in_Nederland"", u'http://nl.dbpedia.org/resource/Zeeland_van_A_tot_Z', u'http://nl.dbpedia.org/resource/Zeeland_van_A_tot_Z', u'http://nl.dbpedia.org/resource/Zeeland_van_A_tot_Z', u'http://www.westerscheldetunnel.nl/?pid=66&itemid=244&contentitemid=526']"
grondgebied De Boeverie,MastbosBredaroute,in text,AREA,2,0,0.0,0.0,[]
Landgoed Boeverie,MastbosBredaroute,in text,AREA,3,0,0.0,0.0,[]
Prinsen van Oranje,MastbosBredaroute,in text,PER,7,104,72.0,100.0,"[u'http://nl.dbpedia.org/resource/Lijst_van_prinsen_van_Oranje', u'http://www.wikidata.org/entity/Q12379705', u'http://nl.dbpedia.org/resource/Lijst_van_prinsen_van_Oranje', u'http://wikidata.dbpedia.org/resource/Q12379705', u'http://wikidata.dbpedia.org/resource/Q17275974', u'http://nl.dbpedia.org/resource/Pieter_Nason', u'http://nl.dbpedia.org/resource/Pieter_Nason', u'http://dbpedia.org/resource/Pieter_Nason', u'http://www.wikidata.org/entity/Q17275974', u'http://dbpedia.org/resource/Pieter_Nason', u'http://wikidata.dbpedia.org/resource/Q17323486', u'http://www.wikidata.org/entity/Q17323486', u'http://lobid.org/resource/HT010757289', u'http://lobid.org/resource/HT010757289', u'http://musicbrainz.org/recording/ef27e4de-8e49-4718-b897-67ddf3b9f55b#_', u'http://lobid.org/resource/HT004316421', u'http://musicbrainz.org/recording/ef27e4de-8e49-4718-b897-67ddf3b9f55b#_', u'http://musicbrainz.org/track/6149055#_', u'http://nl.dbpedia.org/resource/Vrijzinnig-Christelijk_Lyceum', u'http://nl.dbpedia.org/resource/Vrijzinnig-Christelijk_Lyceum']"
Vereniging van Catechisten,MastbosBredaroute,in text,ORG,2,0,0.0,0.0,[]
Brabantse Delta,MastbosBredaroute,in text,ORG,5,69,42.0,69.0,"[u'http://nl.dbpedia.org/resource/Brabantse_Delta', u'http://nl.dbpedia.org/resource/Brabantse_Delta', u'http://wikidata.dbpedia.org/resource/Q3211339', u'http://nl.dbpedia.org/resource/Brabantse_Delta', u'http://nl.dbpedia.org/resource/Brabantse_Delta', u'http://nl.dbpedia.org/resource/Brabantse_Delta', u'http://www.wikidata.org/entity/Q3211339', u'http://nl.dbpedia.org/resource/Brabantse_Delta', u'http://nl.dbpedia.org/resource/Brabantse_Delta', u'http://nl.dbpedia.org/resource/Brabantse_Delta', u'http://standaarden.overheid.nl/owms/terms/Waterschap_Brabantse_Delta', u'http://standaarden.overheid.nl/owms/terms/Waterschap_Brabantse_Delta', u'http://wikidata.dbpedia.org/resource/Q18285762', u'http://standaarden.overheid.nl/owms/terms/Waterschap_Brabantse_Delta', u'http://www.wikidata.org/entity/Q18285762', u'http://standaarden.overheid.nl/owms/terms/Waterschap_Brabantse_Delta', u'http://nl.dbpedia.org/resource/Waterschap_Brabantse_Delta', u'http://nl.dbpedia.org/resource/Waterschap_Brabantse_Delta', u'http://nl.dbpedia.org/resource/Brabantse_Delta', u'http://nl.dbpedia.org/resource/Brabantse_Delta']"
Raadhuisstraat,MastbosBredaroute,in text,LOC,3,1974,97.0,100.0,"[u'http://nl.dbpedia.org/resource/Heilig_Hartbeeld_(Rucphen)', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Eemsmond__2709__1', u'http://nl.dbpedia.org/resource/Raadhuisstraat_(Maarssen)', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Schinnen__1334__1', u'http://wikidata.dbpedia.org/resource/Q19457406', u'http://wikidata.dbpedia.org/resource/Q19457465', u'http://wikidata.dbpedia.org/resource/Q19457481', u'http://wikidata.dbpedia.org/resource/Q19457550', u'http://wikidata.dbpedia.org/resource/Q19457575', u'http://wikidata.dbpedia.org/resource/Q19457647', u'http://wikidata.dbpedia.org/resource/Q19457663', u'http://wikidata.dbpedia.org/resource/Q19457726', u'http://wikidata.dbpedia.org/resource/Q19457839', u'http://wikidata.dbpedia.org/resource/Q19457874', u'http://wikidata.dbpedia.org/resource/Q19457993', u'http://wikidata.dbpedia.org/resource/Q19458028', u'http://wikidata.dbpedia.org/resource/Q19458046', u'http://wikidata.dbpedia.org/resource/Q19458078', u'http://wikidata.dbpedia.org/resource/Q19458116', u'http://wikidata.dbpedia.org/resource/Q19458176']"
